ID,Warehouse_block ,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1196,F, Ship,3,5,171,2,medium,M,,4783,1
1197,A, Ship,3,3,203,2,low,M,1,5244,0
1198,F, Ship,5,2,224,,medium,M,8,4047,1
1199,F, Ship,3,4,187,3,low,F,,4725,1
1200,F, Ship,6,5,244,4,medium,F,2,1980,0
1201,D, Ship,,3,222,,medium,M,2,4060,0
1202,D, Ship,4,2,262,,low,M,2,4015,0
1203,A, Flight,3,4,120,4,high,M,10,5537,0
1204,A, Ship,2,2,192,2,low,F,8,3127,1
1205,D, Road,4,4,146,,low,F,3,4152,1
1206,D, Road,3,3,255,2,low,F,10,5632,0
1207,F, Flight,4,1,214,,medium,F,,4573,1
1208,C, Ship,,1,214,2,low,F,10,4447,0
1209,A, Ship,3,4,150,2,low,M,,4742,0
1210,F, Ship,,4,189,2,medium,F,,2955,1
1211,A, Road,4,5,199,3,low,M,2,4462,0
1212,F, Ship,4,3,149,6,medium,M,,5456,1
1213,A, Ship,4,4,192,4,medium,F,46,3599,1
1214,F, Ship,3,1,207,3,medium,F,56,3482,1
1215,C, Ship,3,1,269,,low,M,47,3033,1
1216,C, Ship,,3,301,5,low,F,,1452,1
1217,F, Ship,3,5,251,4,medium,F,3,5215,1
1218,C, Ship,,3,294,4,low,M,,1667,1
1219,F, Ship,4,3,247,,medium,F,3,4862,1
1220,A, Ship,4,1,223,3,low,F,,4832,0
1221,D, Ship,3,2,133,2,low,F,,4677,1
1222,D, Ship,5,2,261,,low,M,62,3352,1
1223,F, Flight,,2,231,2,medium,F,,3894,1
1224,C, Ship,4,2,190,2,medium,M,,2563,1
1225,A, Ship,4,2,199,3,low,M,,5342,0
1226,F, Flight,4,1,168,2,medium,F,,5276,1
1227,A,?,4,2,192,6,high,F,3,5173,0
1228,D, Flight,4,4,215,2,low,F,,?,1
1229,C, Ship,,3,235,3,high,F,10,4172,0
1230,F, Ship,5,2,249,3,medium,M,6,5212,0
1231,F, Road,,4,150,,low,M,5,1263,1
1232,C, Road,4,2,233,3,low,F,,5740,1
1233,B, Flight,,5,133,3,low,M,63,1218,1
1234,C, Ship,4,4,234,2,medium,F,8,5744,0
1235,A, Ship,3,3,273,,low,M,6,?,1
1236,C, Ship,4,2,175,6,low,F,,5445,1
1237,F, Flight,4,5,208,3,medium,M,23,2056,1
1238,F, Ship,4,4,189,2,medium,M,3,5837,1
1239,D, Road,3,4,144,3,medium,M,,5867,1
1240,F, Flight,,1,135,3,low,M,9,?,0
1241,F,?,,2,262,,medium,M,,4090,1
1242,A, Ship,,4,259,3,low,F,,3720,1
1243,B, Flight,2,4,184,5,medium,M,9,5812,0
1244,F, Flight,3,2,264,4,medium,M,,4877,0
1245,B, Ship,3,1,210,2,low,M,,5932,0
1246,D,?,,2,96,,low,F,,1186,1
1247,F, Ship,3,4,197,3,medium,M,,2148,1
1248,F, Road,,2,297,4,low,F,7,1383,1
1249,D, Ship,5,4,153,6,medium,M,35,1082,1
1250,F, Ship,4,2,210,,medium,F,1,5437,1
1251,C,?,3,5,165,2,high,F,37,1234,1
1252,D, Ship,,4,216,4,medium,F,8,5878,1
1253,C, Ship,4,4,218,4,low,M,6,4377,1
1254,C, Ship,,1,193,3,low,F,3,5919,0
1255,A, Ship,2,2,220,,low,M,1,5289,0
1256,F, Flight,,5,262,2,medium,M,,4283,0
1257,C, Ship,3,4,113,4,low,F,,1154,1
1258,C, Ship,3,3,264,2,low,M,2,4350,0
1259,B, Road,,3,241,,medium,M,5,5666,0
1260,C, Ship,4,2,144,4,medium,F,2,4316,0
1261,C, Flight,,1,158,4,medium,F,,5687,1
1262,D, Flight,4,4,160,3,medium,M,5,4440,0
1263,A, Ship,4,3,136,3,low,F,7,5976,0
1264,F, Ship,3,2,154,,low,F,56,?,1
1265,C,?,4,3,241,,medium,M,3,4636,1
1266,D, Ship,7,2,300,,medium,F,,1179,0
1267,C, Ship,3,1,137,5,low,F,8,4980,1
1268,A, Ship,3,4,206,,medium,M,2,4372,0
1269,B, Ship,4,1,216,,low,M,4,2263,1
1270,C, Ship,,5,301,5,medium,F,7,1209,1
1271,A, Ship,,4,255,3,low,F,,5775,1
1272,F, Road,,2,186,10,low,M,,3722,1
1273,C, Ship,4,2,235,,low,F,21,3088,1
1274,D, Ship,3,3,153,3,low,M,,5487,0
1275,D, Ship,4,4,260,5,low,F,5,1952,1
1276,B, Road,,4,213,3,low,F,,4535,1
1277,A, Ship,6,3,247,4,low,M,3,1616,1
1278,C, Ship,3,2,179,8,high,M,3,4584,0
1279,F, Road,,4,236,4,medium,M,,4457,0
1280,A, Ship,4,4,149,3,medium,M,6,5508,0
1281,B, Ship,3,5,284,2,low,M,,5619,0
1282,F,?,,2,282,4,medium,M,,1674,0
1283,F, Ship,4,4,216,2,medium,M,2,?,1
1284,D, Road,3,2,217,3,?,M,7,5910,0
1285,C, Ship,4,3,269,3,low,F,7,2538,1
1286,F, Ship,3,3,163,3,medium,M,,?,1
1287,B, Flight,,3,183,2,medium,F,,3199,1
1288,A, Road,5,4,275,5,low,M,,1522,1
1289,C, Ship,5,5,210,4,medium,M,9,5081,1
1290,C, Road,3,2,272,3,low,M,,4459,1
1291,B, Ship,,4,147,2,?,M,3,5136,1
1292,B, Flight,4,3,258,2,high,M,11,2252,1
1293,B, Ship,,1,283,5,low,F,,1311,1
1294,F, Ship,4,4,256,3,low,F,,5399,0
1295,B, Road,5,5,237,3,medium,M,5,4285,1
1296,F, Ship,3,5,147,,medium,M,,4350,0
1297,F, Ship,3,3,239,3,low,F,,1399,0
1298,F, Ship,4,4,193,3,low,M,2,5975,1
1299,F, Ship,4,2,206,7,high,M,7,5479,1
1300,C, Flight,3,3,135,3,low,M,56,?,1
1301,C, Ship,6,2,261,4,medium,M,8,1891,0
1302,F, Ship,3,1,188,2,low,F,14,2074,1
1303,F, Ship,3,3,179,3,low,F,9,4459,1
1304,C, Road,,2,142,,low,M,,4790,1
1305,D, Ship,3,1,166,2,high,F,,5905,1
1306,D, Ship,2,2,188,,medium,M,,2424,1
1307,D, Ship,,4,248,3,medium,M,7,5299,0
1308,F, Ship,,4,228,,low,M,60,2715,1
1309,C, Ship,4,1,161,6,low,F,,5734,0
1310,D, Ship,,2,222,3,loww,F,,5130,0
1311,B, Ship,6,2,143,5,low,M,17,1955,1
1312,C, Road,4,3,274,5,low,F,,1637,1
1313,A, Road,4,2,148,2,low,M,,4031,0
1314,C, Ship,4,4,243,3,high,F,,5082,1
1315,B, Ship,6,3,250,,medium,F,1,4747,0
1316,D, Road,3,2,204,2,medium,F,35,2090,1
1317,A, Road,3,3,183,3,medium,M,21,2585,1
1318,D, Ship,,2,172,3,low,M,1,1182,1
1319,A, Ship,,3,262,3,medium,M,46,2904,1
1320,B, Ship,4,5,185,2,low,F,47,3974,1
1321,F, Ship,,3,197,3,low,F,4,4858,1
1322,F, Ship,6,3,269,4,medium,F,6,?,1
1323,C, Ship,,1,238,,low,F,22,3950,1
1324,F, Ship,5,5,266,10,high,F,2,5890,0
1325,A, Ship,4,2,183,4,low,M,15,?,1
1326,A, Ship,4,4,173,5,medium,F,,1691,1
1327,D, Flight,3,3,264,,low,F,,5482,1
1328,F, Ship,,3,157,4,low,M,,?,1
1329,C, Ship,,4,142,2,medium,F,7,5346,0
1330,F, Ship,,4,212,,low,F,,2750,1
1331,B, Ship,4,3,142,,low,M,29,1420,1
1332,C, Road,,3,246,4,medium,F,8,1741,0
1333,F, Road,4,2,133,3,medium,F,5,5950,0
1334,B, Road,4,3,274,3,high,F,,5517,0
1335,A, Ship,3,5,212,2,low,F,,5761,1
1336,D, Ship,3,2,245,,medium,F,7,4121,0
1337,F, Flight,,4,146,3,medium,F,,4672,1
1338,F, Ship,4,4,146,,low,M,,?,1
1339,C, Ship,2,2,139,3,medium,F,23,1283,1
1340,A, Ship,4,5,270,5,low,F,1,1187,1
1341,A, Ship,,4,198,2,low,M,25,2774,1
1342,B, Flight,,5,192,4,low,F,,4691,0
1343,C, Ship,5,4,252,5,low,F,,?,1
1344,C, Road,4,3,201,4,medium,F,3,4797,0
1345,A,?,3,4,224,2,medium,F,15,2701,1
1346,C, Ship,3,2,183,4,medium,F,12,2777,1
1347,D, Flight,,2,214,2,low,M,,3416,1
1348,C, Ship,4,1,263,5,low,M,8,1426,1
1349,A, Ship,,3,161,2,medium,F,38,1521,1
1350,F, Ship,4,2,167,4,high,M,,5250,0
1351,C, Ship,5,5,152,4,low,F,,5913,1
1352,B, Ship,3,4,172,3,low,M,56,1103,1
1353,F, Ship,2,4,204,10,low,F,,?,1
1354,C,?,3,2,173,,medium,F,37,1990,1
1355,B, Flight,5,5,142,4,medium,M,,5372,0
1356,B, Ship,5,3,182,,low,M,,5579,0
1357,B, Road,4,2,189,2,medium,M,,4374,0
1358,F, Road,4,1,241,2,low,M,,5672,0
1359,F, Ship,,3,189,,low,M,7,4869,0
1360,F, Ship,5,5,195,4,low,F,1,4393,1
1361,F, Ship,,5,246,2,medium,F,3,5705,0
1362,A, Ship,2,5,166,4,medium,F,3,?,0
1363,D, Road,,3,158,3,low,F,13,1245,1
1364,C, Ship,6,5,211,,medium,F,,4032,0
1365,F, Ship,,3,306,4,high,F,,1261,1
1366,D, Ship,6,1,303,4,low,F,9,1080,0
1367,A, Flight,6,3,229,8,medium,M,,4600,0
1368,A, Ship,,5,195,2,low,M,2,4008,1
1369,C, Ship,4,3,225,,medium,F,10,5523,1
1370,C, Road,4,3,268,5,medium,M,,1932,1
1371,D, Ship,5,1,134,3,high,F,12,1775,1
1372,D, Ship,4,3,172,3,medium,F,,5434,0
1373,A, Ship,3,2,176,2,low,F,2,?,0
1374,A, Flight,4,4,154,6,medium,F,10,4361,1
1375,A,?,3,2,237,2,high,M,,3103,1
1376,F, Ship,4,1,220,3,high,M,2,3886,1
1377,B, Ship,,5,196,2,medium,F,,5505,0
1378,F, Road,2,3,194,4,medium,M,,3795,1
1379,A, Ship,4,1,151,,high,M,,1148,1
1380,F, Ship,4,1,178,2,high,M,39,1362,1
1381,F, Ship,4,5,274,2,low,F,2,4492,1
1382,F, Ship,,3,196,,high,M,,5709,1
1383,F,?,3,4,204,2,low,F,10,5844,1
1384,F, Ship,5,2,139,3,low,M,,5920,0
1385,D, Ship,4,3,177,3,low,M,,5282,0
1386,B, Ship,,5,212,3,medium,M,,4411,1
1387,F, Road,,3,283,7,high,F,1,?,1
1388,A, Ship,6,4,249,,low,M,,1318,0
1389,F, Ship,3,1,154,,medium,F,56,1300,1
1390,A, Ship,3,3,253,3,medium,M,5,4754,1
1391,A, Road,5,5,271,,high,F,,4547,1
1392,C, Road,5,4,228,5,low,M,,1844,0
1393,D, Road,4,1,176,3,medium,F,,?,1
1394,F, Ship,,4,222,3,low,M,,5340,0
1395,D, Ship,,3,192,,low,M,4,5524,0
1396,A, Flight,,5,250,4,low,M,8,?,0
1397,A, Road,5,3,213,4,medium,F,,2003,1
1398,F, Road,,5,136,2,high,F,1,4971,0
1399,C,?,3,3,262,2,medium,F,,5032,0
1400,B, Ship,,4,228,,medium,M,5,4974,1
1401,C, Ship,4,3,274,2,low,M,,4762,0
1402,B, Ship,6,4,299,4,low,F,9,1817,0
1403,F, Ship,3,2,100,4,low,F,,5163,0
1404,A, Ship,2,5,117,3,low,M,44,1192,1
1405,C, Road,5,3,257,5,medium,M,,1981,1
1406,C, Ship,7,5,293,4,low,F,,1080,1
1407,F, Ship,3,4,271,2,low,M,14,2163,1
1408,C, Ship,,3,255,2,low,M,,5955,1
1409,D, Ship,3,2,220,3,medium,M,,4148,0
1410,F, Ship,3,3,237,,low,F,,5761,0
1411,F, Ship,3,4,155,2,low,M,3,5481,1
1412,B, Ship,5,5,232,3,low,F,,5338,0
1413,D, Road,3,4,260,5,low,M,2,4461,0
1414,D,?,4,1,183,,low,M,3,5178,1
1415,A, Ship,7,1,291,4,medium,F,1,1796,0
1416,F, Ship,3,5,177,4,high,M,9,5311,0
1417,B, Ship,4,2,260,3,low,M,,5504,1
1418,F, Flight,5,1,228,5,low,F,7,1818,0
1419,D, Road,3,3,172,3,medium,F,42,1707,1
1420,A, Flight,5,4,233,,low,F,,4597,1
1421,B, Ship,5,2,145,6,medium,M,,?,0
1422,D, Ship,,1,249,2,medium,F,,5190,1
1423,C, Ship,3,3,214,2,low,M,21,3342,1
1424,B, Ship,5,5,150,,medium,F,61,1091,1
1425,F, Road,6,4,287,4,medium,F,9,1936,1
1426,C, Ship,3,3,133,6,low,F,,1686,1
1427,B, Ship,4,1,151,2,low,M,,1367,1
1428,F, Ship,5,5,232,3,low,F,,4545,1
1429,D, Flight,,1,231,6,medium,F,,?,1
1430,B, Ship,5,3,145,3,medium,M,,5783,1
1431,C, Ship,4,3,154,3,low,M,,1101,1
1432,F, Ship,,3,308,5,medium,M,10,1152,1
1433,A, Flight,6,5,276,4,low,M,,1319,0
1434,B, Road,5,3,267,6,low,M,10,1027,0
1435,F, Ship,,5,135,3,medium,F,6,5266,1
1436,D, Ship,3,3,187,6,low,F,2,4549,0
1437,B, Ship,3,5,219,3,low,F,54,3145,1
1438,B, Road,,5,227,5,medium,F,,1436,1
1439,F, Ship,3,2,160,3,low,F,,4683,0
1440,C, Ship,4,2,213,,low,F,,2184,1
1441,D, Ship,2,1,192,,low,F,,4774,0
1442,B, Ship,4,1,155,,low,F,4,4397,0
1443,C, Ship,4,2,200,3,medium,M,7,4323,0
1444,A, Flight,5,2,224,4,medium,M,43,?,1
1445,F, Ship,,5,287,5,high,M,1,5263,1
1446,A, Ship,7,3,267,4,medium,F,10,1548,0
1447,B, Ship,5,4,214,,low,M,52,3403,1
1448,F, Ship,,1,125,4,low,M,,4097,1
1449,A, Ship,4,3,214,2,low,M,,2078,1
1450,D, Ship,4,2,166,5,low,M,,4493,0
1451,A, Ship,6,5,268,4,medium,M,,1462,0
1452,F, Ship,5,5,243,6,medium,F,9,4587,0
1453,F, Road,4,4,238,4,high,M,,5702,1
1454,B, Ship,6,4,291,,low,F,,1327,0
1455,B, Flight,,4,227,2,low,F,,5706,1
1456,F, Ship,4,3,274,3,medium,F,,4276,0
1457,F, Ship,,5,261,10,low,M,,5208,0
1458,F, Road,4,2,223,,medium,M,3,1395,1
1459,F, Ship,4,1,246,6,low,M,,1489,0
1460,A, Ship,3,5,171,3,low,F,49,1333,1
1461,C, Flight,6,1,279,4,low,F,4,1263,1
1462,D, Road,3,1,267,4,medium,F,,4914,1
1463,C, Flight,5,2,255,5,medium,M,4,1634,0
1464,A, Ship,4,5,157,2,medium,F,1,5054,0
1465,B,?,6,2,288,4,medium,M,,1405,1
1466,A, Ship,3,4,263,3,medium,F,2,5741,1
1467,D, Road,,4,151,4,medium,F,1,4587,1
1468,B, Ship,4,4,263,2,medium,F,,3955,1
1469,F, Ship,3,2,251,,high,F,,4038,0
1470,F, Ship,,2,103,4,medium,M,,?,1
1471,C, Road,3,4,160,3,low,M,,4602,0
1472,C, Ship,6,5,264,4,medium,F,,1922,1
1473,C, Ship,2,3,198,2,medium,F,,1996,0
1474,F, Ship,5,5,231,,medium,F,,5361,0
1475,F, Ship,,2,253,5,medium,F,,1092,0
1476,D,?,4,2,210,3,low,M,5,4746,0
1477,F, Road,3,2,180,2,high,M,10,4024,0
1478,A, Ship,3,5,252,3,low,M,,3701,1
1479,B, Ship,5,2,192,,high,F,7,5695,1
1480,A, Ship,4,3,228,3,medium,F,,5408,1
1481,A, Flight,5,4,190,2,medium,F,23,?,1
1482,F, Ship,4,4,184,3,medium,F,,5381,0
1483,B, Ship,4,2,274,2,low,M,10,4361,0
1484,F, Ship,,2,133,3,medium,M,10,5803,0
1485,B, Ship,,3,202,4,low,M,6,5107,0
1486,C, Ship,3,4,253,3,low,M,,3788,1
1487,A, Ship,4,2,264,,low,M,10,5137,1
1488,C, Ship,4,2,168,2,medium,M,,5154,0
1489,A, Road,3,5,156,4,low,F,6,1015,0
1490,A, Ship,3,1,214,3,medium,F,2,4958,0
1491,C, Ship,,5,278,4,high,F,6,1761,0
1492,B, Ship,,4,239,,medium,F,,5455,1
1493,A, Ship,,1,257,,high,F,,1323,0
1494,F, Flight,5,4,206,3,low,M,53,2182,1
1495,F, Ship,4,1,221,5,medium,M,,3075,1
1496,F, Ship,2,5,154,3,?,F,21,1113,1
1497,F,?,7,1,290,,low,F,,1885,0
1498,F, Road,5,1,173,4,medium,F,,4615,0
1499,A, Ship,4,2,139,3,low,M,,1365,1
1500,F, Flight,3,1,162,3,medium,F,,1417,1
1501,F, Road,6,3,297,4,medium,F,2,1520,1
1502,A, Ship,4,4,247,2,medium,M,9,5095,0
1503,D,?,4,1,273,3,medium,F,,3717,1
1504,F, Flight,,1,226,,low,M,,3077,1
1505,B, Flight,,2,173,3,medium,F,,5128,0
1506,F, Flight,5,4,142,,low,F,8,5468,1
1507,A, Ship,5,3,245,3,medium,F,,5663,0
1508,B, Flight,,5,148,2,medium,M,,?,0
1509,C, Ship,4,2,271,3,medium,M,4,4743,1
1510,F, Flight,6,4,258,4,low,F,7,1726,1
1511,A, Flight,7,4,267,,medium,F,,1378,1
1512,F, Ship,6,5,113,3,high,F,35,1402,1
1513,A, Ship,3,5,157,3,low,M,,5100,0
1514,B, Ship,3,4,216,,medium,M,,5651,0
1515,A, Ship,3,4,198,2,medium,F,20,2266,1
1516,A, Ship,7,5,268,,medium,F,9,1754,1
1517,A, Road,6,4,282,4,low,M,,1580,0
1518,C, Ship,,1,239,,high,M,16,?,1
1519,C, Ship,3,2,154,,high,F,8,5811,1
1520,C, Ship,4,3,220,3,low,F,6,4894,1
1521,C, Ship,4,2,220,2,low,F,6,5543,0
1522,A, Road,6,4,143,,medium,M,4,4401,0
1523,C, Road,6,1,302,,low,F,1,1622,1
1524,F, Ship,4,3,201,3,low,F,,3641,1
1525,A, Ship,4,3,207,2,medium,M,,4286,0
1526,F,?,5,2,186,3,medium,F,15,2153,1
1527,C, Road,6,5,285,4,medium,F,5,1631,1
1528,D, Ship,5,1,238,6,low,F,,1192,0
1529,D, Flight,,2,217,3,low,M,,2999,1
1530,D, Ship,5,5,189,5,low,M,,5254,1
1531,B, Ship,5,5,219,3,medium,M,,3430,1
1532,D, Ship,3,5,196,,high,F,,4569,0
1533,B, Ship,4,2,258,3,high,M,10,4643,1
1534,F, Ship,4,4,177,7,low,F,,5646,1
1535,F, Ship,,3,266,2,low,F,61,2118,1
1536,A, Road,3,5,139,,low,M,2,5839,0
1537,F, Road,3,5,232,2,high,F,,5146,0
1538,C, Ship,3,4,184,3,low,M,7,?,0
1539,F, Ship,5,2,192,7,medium,M,,4045,1
1540,A, Flight,6,5,267,4,low,M,,1550,0
1541,B, Ship,,4,260,2,low,M,,5801,0
1542,C, Road,,4,229,5,low,F,3,1861,1
1543,F, Flight,,2,211,3,medium,F,8,4962,0
1544,B, Roadzk,4,1,258,3,medium,M,36,2211,1
1545,B, Ship,4,4,209,8,medium,F,46,3345,1
1546,B, Ship,6,3,304,,medium,F,10,1254,1
1547,F, Ship,5,3,216,,low,F,,2146,1
1548,C, Flight,5,3,272,2,low,F,,5112,0
1549,B, Ship,,3,252,2,medium,M,,1809,0
1550,B,?,6,5,261,4,low,F,,1266,1
1551,A, Ship,,5,301,4,low,F,,1727,0
1552,D, Ship,3,3,158,2,low,F,4,5960,0
1553,F, Ship,6,4,304,,low,F,,1749,0
1554,D, Road,3,1,258,4,medium,F,,?,1
1555,F, Ship,4,2,96,3,low,M,22,?,1
1556,A, Ship,3,3,158,2,low,M,,4061,1
1557,F, Road,5,2,249,6,low,M,8,1170,1
1558,C, Ship,4,2,233,2,low,M,,5546,1
1559,A, Ship,3,3,203,3,medium,F,4,5548,0
1560,F, Ship,4,4,207,2,medium,M,,2596,1
1561,B, Ship,,2,294,4,low,F,,1318,1
1562,D, Ship,5,5,264,6,high,M,,4644,1
1563,F, Road,6,3,171,3,low,F,1,4952,0
1564,A, Ship,,5,157,4,low,F,,4344,1
1565,F, Ship,4,5,182,2,medium,F,10,5098,1
1566,A, Ship,4,2,149,3,medium,M,,1863,1
1567,D, Ship,4,4,188,3,low,M,,5720,0
1568,B, Ship,4,4,240,3,low,F,,3478,1
1569,A, Ship,,1,186,3,low,F,6,4758,0
1570,D, Flight,3,3,155,3,medium,F,,5464,0
1571,C, Ship,,1,204,2,low,M,,5795,0
1572,A, Ship,,5,194,,low,M,,2256,1
1573,F,?,5,5,165,2,low,M,,4005,1
1574,C, Ship,4,2,258,3,medium,F,,4977,1
1575,C, Ship,,5,265,4,low,F,8,5087,1
1576,C, Road,3,4,231,,high,F,6,4452,0
1577,C, Ship,,4,219,6,low,M,3,1098,0
1578,B, Road,4,5,180,,medium,M,,5622,0
1579,B, Road,7,5,291,4,high,M,6,1135,0
1580,C, Flight,4,5,221,3,low,F,6,?,0
1581,F, Ship,,1,275,5,low,F,,1062,0
1582,C, Road,4,5,206,3,medium,M,5,5785,1
1583,A,?,5,5,161,3,low,F,5,4702,0
1584,F, Road,2,2,145,3,medium,F,5,?,1
1585,F, Ship,5,3,245,5,low,F,,1937,0
1586,C, Ship,3,2,177,2,medium,M,4,4417,0
1587,B, Ship,4,1,155,3,low,F,4,5666,0
1588,B, Ship,6,2,294,4,low,M,,1625,1
1589,B, Road,3,1,166,2,medium,F,9,5853,1
1590,B, Road,2,3,225,7,high,M,,4009,1
1591,A, Ship,5,4,200,3,medium,M,,2078,1
1592,F, Ship,5,3,141,2,medium,F,10,4651,0
1593,F,?,4,2,233,4,high,F,1,?,0
1594,F, Ship,3,1,251,3,medium,F,,2240,1
1595,D, Ship,3,3,242,,low,F,51,3935,1
1596,D, Flight,3,5,162,2,low,M,4,4495,0
1597,B, Ship,7,1,308,4,medium,M,,1841,1
1598,C, Road,4,4,196,5,high,F,,4622,0
1599,C, Ship,5,3,135,3,high,M,,5858,0
1600,F, Flight,5,4,266,5,medium,M,,?,1
1601,A, Road,5,2,155,3,low,F,,4485,1
1602,F, Road,4,4,218,,medium,M,8,5101,1
1603,B, Road,4,5,185,2,low,M,6,4610,0
1604,D, Ship,4,4,255,6,low,F,,1430,1
1605,F, Ship,,3,242,5,low,F,,1846,1
1606,C, Ship,,4,306,4,low,F,5,1703,1
1607,B, Road,4,2,229,,medium,F,5,1689,0
1608,B, Ship,3,5,202,2,medium,F,8,4552,1
1609,C, Ship,,2,150,2,medium,M,,5264,0
1610,D, Ship,5,2,173,,medium,M,4,5363,0
1611,F, Ship,4,5,237,2,medium,F,60,3427,1
1612,C, Ship,3,1,234,3,high,F,,2596,1
1613,C, Ship,4,3,197,,low,M,,4410,0
1614,C, Ship,5,4,216,2,low,F,,4535,0
1615,B, Ship,5,3,240,5,low,M,6,1489,0
1616,B, Ship,4,1,143,2,medium,M,,1996,1
1617,B, Road,,1,260,3,low,M,9,4239,0
1618,F, Road,,5,190,4,medium,M,12,2947,1
1619,D, Road,3,2,250,3,medium,F,4,?,0
1620,F, Ship,6,3,278,4,medium,M,,1716,0
1621,D, Ship,3,5,270,6,medium,F,9,4195,0
1622,F, Ship,3,5,275,3,low,M,6,5148,0
1623,C, Flight,5,2,171,,high,M,34,1029,1
1624,A,?,4,3,280,6,high,M,8,4525,0
1625,F, Ship,4,2,147,2,medium,F,20,1387,1
1626,D, Ship,4,2,227,5,medium,M,6,?,0
1627,B, Road,4,2,239,2,medium,F,9,4360,0
1628,C, Flight,3,2,224,3,medium,M,,5343,1
1629,F, Ship,,4,222,3,low,M,,5819,0
1630,F, Ship,,5,263,,low,M,,2267,1
1631,C, Ship,5,2,252,3,low,M,,5058,0
1632,F, Road,3,2,263,3,low,M,,?,1
1633,D, Ship,5,3,223,3,low,F,,4671,1
1634,F, Ship,5,1,235,,low,M,27,2451,1
1635,F, Ship,4,4,222,2,low,M,,5660,0
1636,B, Ship,7,3,267,,low,M,7,1384,0
1637,C, Road,3,4,167,3,medium,M,50,?,1
1638,F, Ship,5,1,248,8,low,F,2,4023,1
1639,A,?,4,2,225,2,low,F,6,2010,1
1640,D, Ship,2,4,153,2,medium,F,57,1264,1
1641,F, Road,,5,133,3,medium,M,3,1403,1
1642,D, Ship,4,2,185,,medium,F,,?,0
1643,F, Road,5,4,263,2,medium,F,,4595,0
1644,C, Ship,,2,243,,medium,F,8,4093,0
1645,F, Flight,5,3,254,2,medium,F,5,4764,1
1646,F, Flight,3,3,153,2,low,F,,1328,1
1647,A, Ship,4,5,273,3,low,F,,5043,1
1648,C, Ship,4,2,192,3,low,F,3,4130,1
1649,F, Ship,,5,202,3,medium,F,46,3181,1
1650,B, Ship,4,5,243,3,low,M,9,5263,0
1651,A, Road,5,2,196,3,medium,M,44,2085,1
1652,F,?,4,1,163,,low,F,3,4099,1
1653,D, Ship,,1,153,3,low,M,10,5121,1
1654,D, Ship,3,1,273,6,low,F,9,1198,1
1655,B, Road,,2,268,10,medium,M,,4483,0
1656,D, Ship,,1,232,5,low,M,,1427,0
1657,D, Road,,5,170,,low,F,10,5621,1
1658,B, Ship,,3,210,,medium,F,,?,1
1659,F, Flight,,3,158,2,medium,M,7,4865,0
1660,B, Ship,5,2,284,4,low,M,1,4171,1
1661,F, Ship,6,3,260,,low,F,1,1775,0
1662,C, Flight,3,2,273,3,high,M,8,5754,1
1663,A, Ship,4,5,140,3,medium,F,,4956,0
1664,C, Ship,4,2,247,3,medium,F,64,?,1
1665,C, Ship,3,3,154,4,medium,F,7,1915,0
1666,F, Ship,6,3,244,3,medium,M,4,?,1
1667,F, Ship,5,2,140,,medium,M,,1521,0
1668,A, Ship,6,5,251,4,medium,F,,1660,0
1669,D, Ship,4,5,147,,medium,F,19,1940,1
1670,F, Road,6,4,272,2,low,M,7,4145,0
1671,D, Ship,3,1,200,2,medium,M,,2551,1
1672,A, Road,4,5,105,5,high,M,,5824,1
1673,F, Ship,,1,247,2,medium,F,,5098,0
1674,F, Ship,5,2,280,4,low,M,8,4539,1
1675,C, Flight,3,5,182,,medium,M,,3595,1
1676,F, Ship,5,2,244,6,low,M,,1702,1
1677,F, Flight,5,4,182,,medium,F,,?,1
1678,D, Road,4,2,261,5,medium,M,5,1073,1
1679,F, Flight,5,2,244,6,low,F,7,1315,0
1680,D, Ship,6,5,256,4,low,F,2,1163,0
1681,A, Ship,4,2,233,5,low,F,8,1097,0
1682,F, Ship,4,2,280,4,low,M,,5288,1
1683,F, Ship,,5,222,,medium,M,2,4425,0
1684,F, Ship,5,2,285,4,medium,F,,1666,1
1685,C, Ship,5,5,162,4,low,M,,1311,0
1686,C, Ship,3,1,238,,low,M,,5158,0
1687,F, Road,5,5,132,3,low,M,,4195,1
1688,F, Ship,6,5,304,4,low,M,,1755,1
1689,F, Ship,3,4,145,4,high,M,,5801,0
1690,A, Ship,5,4,275,2,medium,M,,5395,1
1691,A, Ship,4,2,216,3,low,M,10,4636,0
1692,C, Ship,,2,191,2,high,F,,2059,1
1693,F, Ship,2,1,209,5,low,F,,2016,1
1694,F, Ship,5,3,239,,low,M,,3734,1
1695,A, Ship,4,1,251,3,low,F,,2502,1
1696,F, Ship,4,3,220,3,medium,M,8,3342,1
1697,C, Flight,5,4,180,2,low,M,52,1122,1
1698,A, Ship,3,1,155,3,medium,F,7,5709,0
1699,F, Ship,3,2,140,2,low,F,16,1685,1
1700,F,?,3,4,208,,medium,F,,2100,1
1701,C, Flight,,5,260,3,low,M,,4331,0
1702,B, Flight,3,3,158,3,low,M,,5502,0
1703,F, Ship,4,4,151,2,low,F,,1001,1
1704,C, Ship,4,4,211,3,medium,M,,4812,0
1705,A, Road,,4,204,4,medium,F,35,2513,1
1706,A, Ship,,3,281,,?,F,,1884,0
